ID;Label
D2-126;Human
D2-127;Human
D2-128;OpenAI
D2-129;OpenAI
D2-130;OpenAI
D2-131;OpenAI
D2-132;OpenAI
D2-133;OpenAI
D2-134;Human
D2-135;Human
D2-136;OpenAI
D2-137;Meta
D2-138;Human
D2-139;Human
D2-140;Human
D2-141;OpenAI
D2-142;Google
D2-143;Human
D2-144;OpenAI
D2-145;OpenAI
D2-146;Human
D2-147;Human
D2-148;Google
D2-149;Human
D2-150;Anthropic
D3-76;Human
D3-77;Human
D3-78;Human
D3-79;Google
D3-80;OpenAI
D3-81;Human
D3-82;OpenAI
D3-83;OpenAI
D3-84;Human
D3-85;Human
D3-86;Human
D3-87;OpenAI
D3-88;OpenAI
D3-89;Human
D3-90;Anthropic
D3-91;OpenAI
D3-92;OpenAI
D3-93;Anthropic
D3-94;OpenAI
D3-95;OpenAI
D3-96;Human
D3-97;OpenAI
D3-98;Human
D3-99;OpenAI
D3-100;OpenAI
D4-1;Human
D4-2;Anthropic
D4-3;Google
D4-4;Google
D4-5;Anthropic
D4-6;Meta
D4-7;OpenAI
D4-8;OpenAI
D4-9;Human
D4-10;Human
D4-11;Anthropic
D4-12;OpenAI
D4-13;OpenAI
D4-14;OpenAI
D4-15;OpenAI
D4-16;Human
D4-17;Anthropic
D4-18;Human
D4-19;OpenAI
D4-20;Human
D4-21;OpenAI
D4-22;Human
D4-23;Google
D4-24;OpenAI
D4-25;Meta
D4-26;Anthropic
D4-27;OpenAI
D4-28;OpenAI
D4-29;OpenAI
D4-30;OpenAI
D4-31;OpenAI
D4-32;Meta
D4-33;Human
D4-34;Human
D4-35;OpenAI
D4-36;Meta
D4-37;Human
D4-38;Human
D4-39;OpenAI
D4-40;OpenAI
D4-41;OpenAI
D4-42;Human
D4-43;OpenAI
D4-44;Human
D4-45;Human
D4-46;OpenAI
D4-47;OpenAI
D4-48;Google
D4-49;Human
D4-50;Google
D4-51;OpenAI
D4-52;OpenAI
D4-53;Human
D4-54;Google
D4-55;Human
D4-56;Human
D4-57;Human
D4-58;Human
D4-59;OpenAI
D4-60;OpenAI
D4-61;Human
D4-62;Human
D4-63;Anthropic
D4-64;Human
D4-65;OpenAI
D4-66;OpenAI
D4-67;Human
D4-68;Human
D4-69;OpenAI
D4-70;Anthropic
D4-71;Human
D4-72;OpenAI
D4-73;Human
D4-74;Human
D4-75;OpenAI
D4-76;OpenAI
D4-77;OpenAI
D4-78;Human
D4-79;Human
D4-80;OpenAI
D4-81;OpenAI
D4-82;OpenAI
D4-83;Human
D4-84;Human
D4-85;Anthropic
D4-86;OpenAI
D4-87;OpenAI
D4-88;Human
D4-89;Human
D4-90;OpenAI
D4-91;Human
D4-92;Human
D4-93;Human
D4-94;Anthropic
D4-95;OpenAI
D4-96;Human
D4-97;Anthropic
D4-98;Anthropic
D4-99;Human
D4-100;Human
